SAFETY CRITERIA EXPORT
Source DB: data/safety_criteria.db
Rows: 320

airport_code | sector_name | primary_kind | other_kind | speed_min_mps | speed_max_mps | green_m | yellow_m | red_m
SABE | apron | aircraft | aircraft | 0.0 | 2.0 | 28.2 | 16.2 | 8.8
SABE | apron | aircraft | aircraft | 2.0 | 6.0 | 47.0 | 27.9 | 15.8
SABE | apron | aircraft | aircraft | 6.0 | 10.0 | 71.9 | 43.5 | 25.2
SABE | apron | aircraft | aircraft | 10.0 | 16.0 | 103.1 | 63.0 | 36.9
SABE | apron | aircraft | aircraft | 16.0 | 60.0 | 146.8 | 90.3 | 53.3
SABE | apron | aircraft | hazard | 0.0 | 2.0 | 17.6 | 10.1 | 5.2
SABE | apron | aircraft | hazard | 2.0 | 6.0 | 28.7 | 17.0 | 9.2
SABE | apron | aircraft | hazard | 6.0 | 10.0 | 43.5 | 26.1 | 14.6
SABE | apron | aircraft | hazard | 10.0 | 16.0 | 62.0 | 37.6 | 21.2
SABE | apron | aircraft | hazard | 16.0 | 60.0 | 87.9 | 53.7 | 30.5
SABE | apron | aircraft | vehicle | 0.0 | 2.0 | 20.3 | 11.5 | 6.2
SABE | apron | aircraft | vehicle | 2.0 | 6.0 | 34.0 | 20.1 | 11.3
SABE | apron | aircraft | vehicle | 6.0 | 10.0 | 52.2 | 31.7 | 17.9
SABE | apron | aircraft | vehicle | 10.0 | 16.0 | 75.0 | 46.1 | 26.3
SABE | apron | aircraft | vehicle | 16.0 | 60.0 | 106.9 | 66.3 | 38.0
SABE | apron | aircraft | wildlife | 0.0 | 2.0 | 118.8 | 79.2 | 40.3
SABE | apron | aircraft | wildlife | 2.0 | 6.0 | 151.2 | 100.8 | 53.3
SABE | apron | aircraft | wildlife | 6.0 | 10.0 | 194.4 | 129.6 | 70.6
SABE | apron | aircraft | wildlife | 10.0 | 16.0 | 248.4 | 165.6 | 92.2
SABE | apron | aircraft | wildlife | 16.0 | 60.0 | 324.0 | 216.0 | 122.4
SABE | apron | vehicle | aircraft | 0.0 | 2.0 | 25.0 | 14.8 | 7.8
SABE | apron | vehicle | aircraft | 2.0 | 6.0 | 43.7 | 26.5 | 14.8
SABE | apron | vehicle | aircraft | 6.0 | 10.0 | 68.6 | 42.1 | 24.2
SABE | apron | vehicle | aircraft | 10.0 | 16.0 | 99.8 | 61.6 | 35.9
SABE | apron | vehicle | aircraft | 16.0 | 60.0 | 143.5 | 88.9 | 52.3
SABE | apron | vehicle | hazard | 0.0 | 2.0 | 15.5 | 9.0 | 4.7
SABE | apron | vehicle | hazard | 2.0 | 6.0 | 26.6 | 15.8 | 8.7
SABE | apron | vehicle | hazard | 6.0 | 10.0 | 41.4 | 25.0 | 14.0
SABE | apron | vehicle | hazard | 10.0 | 16.0 | 59.9 | 36.5 | 20.6
SABE | apron | vehicle | hazard | 16.0 | 60.0 | 85.8 | 52.5 | 30.0
SABE | apron | vehicle | vehicle | 0.0 | 2.0 | 18.2 | 10.5 | 5.5
SABE | apron | vehicle | vehicle | 2.0 | 6.0 | 31.9 | 19.2 | 10.5
SABE | apron | vehicle | vehicle | 6.0 | 10.0 | 50.2 | 30.7 | 17.2
SABE | apron | vehicle | vehicle | 10.0 | 16.0 | 73.0 | 45.1 | 25.5
SABE | apron | vehicle | vehicle | 16.0 | 60.0 | 104.9 | 65.4 | 37.2
SABE | apron | vehicle | wildlife | 0.0 | 2.0 | 118.8 | 79.2 | 40.3
SABE | apron | vehicle | wildlife | 2.0 | 6.0 | 151.2 | 100.8 | 53.3
SABE | apron | vehicle | wildlife | 6.0 | 10.0 | 194.4 | 129.6 | 70.6
SABE | apron | vehicle | wildlife | 10.0 | 16.0 | 248.4 | 165.6 | 92.2
SABE | apron | vehicle | wildlife | 16.0 | 60.0 | 324.0 | 216.0 | 122.4
SABE | global | aircraft | aircraft | 0.0 | 2.0 | 31.1 | 17.9 | 9.7
SABE | global | aircraft | aircraft | 2.0 | 6.0 | 51.8 | 30.8 | 17.4
SABE | global | aircraft | aircraft | 6.0 | 10.0 | 79.3 | 48.0 | 27.8
SABE | global | aircraft | aircraft | 10.0 | 16.0 | 113.7 | 69.5 | 40.7
SABE | global | aircraft | aircraft | 16.0 | 60.0 | 161.9 | 99.6 | 58.7
SABE | global | aircraft | hazard | 0.0 | 2.0 | 20.0 | 11.4 | 5.9
SABE | global | aircraft | hazard | 2.0 | 6.0 | 32.6 | 19.3 | 10.5
SABE | global | aircraft | hazard | 6.0 | 10.0 | 49.4 | 29.7 | 16.5
SABE | global | aircraft | hazard | 10.0 | 16.0 | 70.4 | 42.7 | 24.1
SABE | global | aircraft | hazard | 16.0 | 60.0 | 99.8 | 60.9 | 34.7
SABE | global | aircraft | vehicle | 0.0 | 2.0 | 22.4 | 12.7 | 6.9
